150
7 30
68 15 233
17 0 117
35 167 233
41 0 215
11 114 233
87 47 233
9 30 233
80 73 233
3 0 127
49 5 232
67 59 233
48 0 156
39 26 233
15 6 233
23 28 233
72 77 233
41 223
23 0 178
142 9 67
100 0 182
14 133 223
17 165 223
132 0 133
114 55 223
72 34 208
33 0 156
22 66 223
66 0 169
84 3 61
92 127 223
121 0 144
3 0 121
130 50 223
133 0 166
56 47 214
98 25 223
111 103 223
21 52 205
12 37 223
0 0 82
27 80 131
128 0 215
124 21 223
40 0 212
131 106 223
39 95 223
106 138 223
61 0 127
45 0 217
104 155 217
111 0 94
75 9 181
60 0 185
99 128 223
123 56 223
82 0 145
24 0 208
19 0 134
14 920
41 124 920
25 82 920
85 315 774
47 0 908
49 57 920
48 443 686
77 567 830
30 0 286
3 215 506
64 119 920
15 413 920
53 0 577
22 0 582
13 217 920
25 194
28 0 89
59 0 75
12 0 160
39 62 194
101 95 194
11 0 178
17 36 163
40 0 187
46 0 190
61 135 190
43 0 149
88 0 103
67 0 132
96 50 194
19 0 169
57 0 169
81 0 187
32 0 145
51 63 194
76 0 95
41 11 194
5 7 110
83 3 194
86 0 84
78 0 191
28 435
60 0 374
17 0 314
0 122 435
9 172 435
70 156 435
14 107 265
73 0 424
18 19 435
15 0 434
2 193 435
45 3 435
74 0 358
67 0 363
6 75 435
72 152 426
10 0 422
31 30 435
71 239 435
37 133 435
38 24 435
7 24 435
26 0 278
39 151 435
8 108 435
36 292 435
23 141 435
30 0 290
63 0 308
8 33
37 0 30
0 0 15
29 8 33
20 0 27
13 1 11
25 0 18
22 15 33
1 0 30
41 939
5 0 894
115 218 939
1 28 686
87 0 939
111 583 939
85 541 939
11 0 639
21 0 411
117 354 899
121 414 939
101 0 684
88 0 818
16 304 939
86 0 913
73 539 903
106 265 939
61 116 939
84 429 939
118 182 723
13 6 939
43 62 939
105 492 939
83 555 939
70 180 939
38 0 794
42 0 772
108 0 651
17 0 624
55 12 939
4 0 903
44 253 939
58 0 530
39 526 939
93 253 939
119 0 717
24 72 939
33 0 570
66 80 939
56 327 939
67 175 939
95 230 939
6 815
27 329 815
61 186 815
28 0 815
4 0 537
8 0 462
58 188 595
39 961
72 114 961
97 0 780
124 341 961
42 23 961
70 238 961
119 76 961
87 65 431
4 0 727
75 0 616
129 149 961
106 699 961
87 607 820
31 0 751
125 0 871
6 718 961
69 198 451
93 561 961
79 0 372
84 366 961
86 0 683
2 0 624
113 113 886
99 0 955
100 0 839
80 8 589
62 0 851
71 0 446
116 0 330
73 0 450
32 686 961
85 357 961
49 0 535
110 0 877
61 281 961
103 0 729
121 303 961
21 22 961
68 413 961
29 102 961
46 835
51 547 835
10 0 712
1 58 835
41 480 835
42 0 835
5 0 341
39 11 758
36 0 283
33 0 757
66 180 835
23 224 835
11 590 835
55 40 835
59 126 835
38 141 835
36 295 835
15 0 715
50 0 577
74 158 835
18 227 835
34 0 388
28 0 401
27 126 835
32 55 835
72 321 835
71 477 835
60 158 835
63 0 371
14 0 497
49 167 835
21 153 835
25 309 835
0 30 835
26 432 835
45 0 702
53 0 436
64 203 835
68 0 294
43 0 681
7 0 784
65 0 647
48 0 783
6 139 835
35 0 724
2 0 573
31 16 736
31 605
54 0 392
18 283 605
3 0 472
46 57 230
23 346 605
55 324 605
57 308 605
61 153 469
24 322 605
36 0 312
84 74 323
25 33 605
41 170 605
28 0 304
8 329 605
56 0 556
59 10 605
79 274 557
10 227 605
0 0 580
30 84 213
71 0 585
34 137 605
49 14 605
32 0 595
76 0 516
48 0 326
19 0 311
9 445 605
58 207 605
15 0 571
27 650
98 193 650
60 0 325
73 0 358
12 0 548
81 0 414
22 320 650
53 199 474
90 0 612
27 242 650
66 0 495
13 0 648
9 104 598
91 437 650
68 51 650
103 8 650
21 95 650
49 0 315
104 501 644
83 0 377
99 0 558
56 0 628
72 0 190
41 350 650
28 437 648
1 355 650
95 0 510
32 170 650
16 241
16 49 235
39 0 208
51 23 223
1 186 241
50 123 241
53 75 241
28 0 127
54 31 241
40 0 208
26 153 214
56 0 145
6 114 171
17 48 241
9 97 200
25 9 241
13 0 120
24 938
40 0 716
4 55 731
29 185 938
36 0 577
8 0 697
41 8 938
44 0 636
49 0 659
6 469 938
20 0 899
35 177 624
32 0 803
25 85 938
46 156 938
34 18 938
37 27 938
53 0 879
55 156 938
21 0 588
9 200 938
30 0 699
48 532 938
5 90 938
51 243 936
8 499
12 14 499
19 202 499
7 228 499
2 75 499
20 0 176
5 298 499
16 362 499
6 14 499
38 708
30 0 525
10 25 708
54 203 586
27 158 708
15 0 626
13 0 522
49 0 534
47 365 708
9 114 708
34 268 654
11 0 621
51 0 658
14 0 575
33 441 708
36 301 708
16 0 654
24 0 480
39 159 708
44 0 603
20 0 270
50 17 708
19 0 662
26 290 708
21 253 708
17 76 708
48 0 707
2 272 708
40 304 492
6 0 434
7 52 708
42 275 708
5 0 226
38 0 576
52 0 570
22 56 708
43 177 445
4 11 437
0 0 332
2 387
33 0 312
0 54 314
4 14
34 5 13
17 0 8
41 4 9
8 6 14
42 557
57 429 541
8 198 557
2 127 317
6 17 557
49 152 557
26 0 543
34 0 480
53 18 557
14 20 288
1 29 557
41 7 361
13 243 557
4 0 313
25 287 557
45 212 557
39 33 557
0 73 389
27 0 314
35 134 557
58 72 557
32 81 557
55 0 548
36 0 489
10 0 516
47 0 547
11 0 379
16 0 382
31 254 525
18 0 466
56 193 402
15 0 548
21 0 354
50 84 557
29 260 557
24 46 557
57 0 417
20 0 348
30 22 528
28 261 557
9 0 518
23 0 518
3 0 528
35 887
57 196 887
59 16 887
29 0 658
74 51 812
22 107 887
82 0 448
105 62 887
26 0 757
50 0 696
13 0 782
17 0 847
64 322 887
37 522 887
91 533 822
36 0 521
11 56 887
34 349 887
70 0 772
71 545 887
108 133 887
3 147 887
32 0 833
89 0 821
21 0 681
87 87 887
68 391 887
38 0 684
40 373 887
116 88 467
58 93 887
7 355 887
55 0 481
16 0 706
123 0 867
94 487 887
13 839
53 0 743
49 0 774
13 149 440
65 330 839
43 0 434
36 360 650
58 72 666
15 16 839
82 237 839
0 480 754
11 0 367
21 0 677
62 99 839
12 313
54 5 123
39 50 313
79 0 296
34 0 286
65 236 311
0 77 179
30 0 206
16 0 202
23 0 225
42 132 308
26 0 249
50 0 72
40 131
57 10 131
66 23 79
86 16 131
4 29 131
1 43 123
93 67 131
36 30 62
74 5 131
83 1 131
52 0 84
9 0 111
5 0 59
31 62 131
38 77 119
24 20 131
6 9 131
64 5 131
59 15 131
19 7 131
41 1 131
3 0 112
92 0 115
87 0 77
42 15 52
67 0 107
46 0 129
14 0 47
49 0 106
76 0 116
25 0 114
48 0 85
60 8 131
45 0 106
80 0 50
65 0 68
68 0 115
37 0 122
82 83 131
32 0 87
11 8 131
24 34
71 13 34
34 8 34
24 0 25
27 0 16
80 9 34
44 13 34
25 0 14
25 20 34
33 0 12
77 0 29
18 2 18
82 0 13
17 0 13
15 0 16
45 0 15
83 14 34
70 0 17
35 22 34
49 1 17
0 13 34
36 0 32
88 0 18
59 0 33
58 13 34
11 15
2 1 7
2 9 15
3 0 4
5 7 13
7 0 8
8 3 6
8 8 15
10 2 9
11 8 13
14 6 15
16 0 6
41 372
5 0 204
36 0 316
0 6 372
68 0 215
38 0 283
27 105 372
16 216 339
47 0 263
14 79 372
11 43 329
10 142 338
49 64 265
44 44 372
65 23 372
40 0 233
19 167 348
35 0 143
69 0 328
54 0 305
17 164 246
64 96 372
62 31 372
50 0 285
18 9 127
45 39 277
43 0 251
32 173 372
9 0 326
28 0 351
66 42 372
51 20 254
53 11 128
24 0 220
18 220 362
39 0 221
6 59 372
60 0 271
55 8 372
37 0 212
32 0 124
46 257 372
30 954
37 140 954
45 297 954
50 42 954
39 125 954
34 481 954
44 39 954
26 0 916
58 696 954
19 353 878
54 0 647
48 623 954
52 251 954
16 0 920
18 209 954
14 478 822
47 198 954
38 227 954
28 285 954
42 0 779
31 482 954
0 0 881
57 481 756
3 0 536
17 113 954
51 179 659
32 0 628
30 14 954
5 0 589
23 313 521
12 256 954
9 779
2 30 497
15 0 484
35 0 272
21 330 779
13 0 579
44 141 779
17 0 721
4 25 779
42 268 779
33 781
27 0 429
37 238 781
42 75 597
41 75 773
6 0 386
50 59 781
18 0 679
54 34 287
26 176 781
49 12 781
13 7 781
43 0 616
25 247 571
30 157 399
39 0 759
20 133 781
55 398 781
40 0 460
9 250 781
46 423 705
34 0 771
29 60 781
35 0 521
19 284 781
21 93 781
45 0 651
28 0 609
0 0 605
23 334 781
16 411 576
44 101 516
7 0 357
14 163 500
37 176
63 73 176
74 9 113
21 55 176
85 78 176
26 0 126
77 8 176
52 54 176
19 0 150
6 37 175
57 68 105
67 3 138
58 5 77
7 0 131
35 0 167
42 0 89
75 0 82
78 119 176
15 0 117
9 0 134
70 0 113
71 0 150
14 0 167
81 0 144
28 19 176
5 84 134
53 46 176
16 0 99
36 123 176
65 5 176
61 0 165
82 11 176
4 0 140
43 0 143
80 117 176
64 5 176
47 0 176
24 16 176
25 614
3 497 552
3 133 298
12 395 522
9 112 493
11 567 614
0 364 401
4 105 386
2 0 449
4 73 80
4 475 505
6 275 423
1 20 380
10 29 180
0 41 352
8 56 157
6 0 70
11 284 317
7 247 385
10 212 614
8 422 469
12 0 337
8 504 557
1 399 598
3 424 459
0 452 486
2 100
1 0 49
1 50 100
1 1
1 0 1
47 456
58 0 362
45 0 210
16 0 192
54 124 432
32 301 456
3 0 298
9 246 456
42 0 200
26 0 449
61 170 417
39 2 142
35 231 456
34 120 456
47 207 456
12 0 336
17 125 456
23 11 456
59 0 449
21 11 456
37 123 456
27 98 456
20 0 456
0 0 380
24 7 456
64 0 307
51 21 253
6 229 456
10 0 242
50 233 456
39 171 428
5 79 456
40 0 427
62 0 356
55 114 317
53 34 456
1 125 456
48 0 307
28 0 243
56 0 222
4 0 277
14 179 456
49 148 341
13 0 327
29 14 456
30 0 141
31 101 456
36 193 354
2 445
86 0 124
49 0 322
14 853
12 71 598
1 232 853
34 332 607
26 0 672
50 100 853
38 0 613
29 35 853
46 222 853
33 0 756
37 232 853
13 0 398
17 22 636
10 0 472
28 0 702
39 426
35 207 351
21 0 257
23 0 379
16 0 359
17 90 426
54 231 364
11 132 426
49 168 426
34 0 376
13 0 175
47 55 426
25 335 426
53 103 342
29 37 312
7 164 426
12 74 426
45 15 426
3 0 243
41 0 385
48 194 426
39 0 386
22 96 426
37 95 297
8 30 426
43 116 426
20 0 362
44 85 426
50 0 410
10 238 426
28 0 425
38 202 426
40 0 342
0 0 313
52 121 426
36 80 426
4 121 426
24 6 426
51 263 426
19 130 426
27 843
38 149 843
19 0 817
24 0 641
26 188 843
22 0 711
40 0 743
12 0 212
11 56 843
5 0 633
39 0 788
41 0 843
13 361 675
33 53 843
47 365 843
28 274 843
44 195 843
35 89 843
8 54 843
18 265 843
20 0 562
27 0 347
17 194 432
32 302 843
9 90 843
14 53 843
3 27 843
43 0 836
22 963
0 72 541
98 77 624
15 204 963
95 62 722
82 341 963
3 430 963
101 632 842
21 0 951
53 420 740
1 135 963
74 244 963
27 0 609
17 0 342
10 305 809
99 479 824
61 0 688
49 0 490
85 0 819
56 0 792
58 0 587
13 2 963
38 0 453
48 951
4 0 884
66 439 951
43 629 951
47 145 951
74 277 951
19 187 951
91 0 950
93 0 355
16 0 762
45 76 951
97 0 818
8 0 743
22 108 951
41 0 479
78 269 708
79 325 951
28 88 951
63 0 347
94 0 753
11 144 951
72 127 579
60 0 435
21 54 951
58 246 951
64 0 911
17 683 951
82 433 831
35 0 691
50 488 951
70 218 696
61 0 650
15 370 951
30 0 551
69 45 951
44 64 951
31 451 951
38 291 747
48 0 767
25 653 947
2 580 951
68 89 951
92 0 536
7 427 951
65 138 951
67 251 940
84 321 935
95 0 646
9 0 768
21 420
15 108 304
35 0 254
8 0 408
24 0 369
6 102 342
34 42 420
14 106 420
37 0 408
7 59 160
1 108 420
13 0 274
48 327 420
46 45 367
27 103 193
31 54 420
33 0 360
2 229 420
12 0 288
30 0 327
36 11 340
5 22 420
50 97756
100000 0 54175
19016 0 67626
78315 0 62848
4726 22222 94058
55400 0 59289
10639 55205 97756
4706 0 86529
32779 51166 97756
44558 0 43229
41952 26065 97756
