Case #1: Impossible
9 19 161870
9 20 304253
9 21 307069
9 22 297071
9 24 248705
9 26 229795
9 28 300551
10 11 297662
10 12 156306
10 13 384718
10 14 291891
10 15 184059
10 17 74101
10 18 257586
10 19 300269
10 20 242763
10 22 317465
10 23 174304
10 25 241679
10 26 168305
10 27 232514
10 28 283592
11 12 203644
11 13 283305
11 14 109423
11 16 117393
11 17 300994
11 20 152083
11 21 263263
11 23 123358
11 25 208646
11 29 254489
12 13 287406
12 14 217943
12 15 204233
12 16 225913
12 18 163568
12 19 206251
12 22 161159
12 23 80286
12 24 356614
12 25 284552
12 26 74287
12 27 138496
12 29 229009
13 14 224490
13 16 305574
13 17 345236
13 18 127132
13 19 169815
13 20 283725
13 22 135073
13 23 222412
13 24 86707
13 27 280622
13 28 269235
13 29 237071
14 15 107832
14 16 105057
14 17 217790
14 19 167050
14 20 218114
14 23 137657
14 24 311197
14 25 181112
14 26 143656
14 27 173569
14 28 95353
14 29 242153
15 16 212889
15 17 109958
15 18 161694
15 23 123947
15 24 345839
15 25 282678
15 27 65737
15 28 203185
15 29 272670
16 19 175020
16 20 226084
16 25 179543
16 26 151626
16 27 203837
17 19 274406
17 22 259244
17 23 178371
17 24 258529
17 27 175695
17 29 327094
18 19 42683
18 20 163739
18 21 206774
18 22 262205
18 24 213839
18 26 89281
18 27 153490
18 28 181364
19 21 164091
19 22 297418
19 23 137963
19 24 256522
19 25 78301
19 27 196173
19 28 138681
19 29 236943
20 21 296037
20 22 309904
20 23 80457
20 24 370432
20 25 284723
20 27 138667
20 28 189745
21 22 340946
21 26 221579
21 27 157370
21 28 182209
22 24 221780
22 25 353313
22 26 235446
22 29 372144
23 27 58210
23 28 109288
24 26 303120
24 27 305584
24 29 323778
26 27 64209
26 28 115287
26 29 154722
27 28 167498
27 29 206933
Case #6: 179
1 4 349963
1 6 205382
1 7 268284
1 8 421549
1 10 162772
1 11 318059
1 12 273625
1 13 282603
1 15 186728
1 16 234219
1 20 309326
1 22 202413
1 23 146295
1 26 328819
2 5 179236
2 7 118263
2 10 227191
2 11 126242
2 14 245970
2 15 321153
2 19 254514
2 22 148823
2 23 204941
3 9 298653
3 12 210261
3 14 377166
3 17 178863
3 18 234748
3 20 279494
3 23 266672
3 24 187375
3 25 323391
4 5 313560
4 7 173418
4 15 296513
4 17 257438
4 18 149325
4 19 229874
4 20 185252
4 21 243597
4 23 281865
4 24 330429
4 27 166647
5 11 305478
5 13 267279
5 14 425206
5 15 308087
5 16 218895
5 19 241448
5 21 310209
5 22 315296
5 24 419791
5 26 425722
6 8 304411
6 9 226948
6 11 225590
6 12 178413
6 13 120461
6 14 305726
6 15 295261
6 17 257045
6 18 153926
6 20 189853
6 21 243204
6 24 249351
6 25 65283
6 27 171248
7 8 222989
7 10 196706
7 11 86375
7 14 141249
7 15 246645
7 20 108431
7 21 83721
7 24 221225
7 25 112736
7 26 234682
8 9 227070
8 13 183950
8 15 390568
8 17 304098
8 18 208278
8 20 114558
8 21 290257
8 24 238111
8 25 239128
9 10 245635
9 12 88392
9 13 106487
9 14 190443
9 16 87941
9 17 146756
9 18 73022
9 20 112512
9 22 115065
9 24 257689
9 26 244232
10 14 324413
10 15 313948
10 17 214435
10 22 182744
10 23 238862
10 24 287239
10 25 83970
10 26 300696
10 27 189935
11 14 214082
11 15 289265
11 17 111637
11 18 71664
11 19 222626
11 20 116410
11 21 97796
11 22 115646
11 24 261587
11 25 160307
12 13 57952
12 15 242088
12 17 120307
12 19 175449
12 20 69233
12 21 106466
12 22 88616
12 24 214410
12 27 32427
13 14 185265
13 15 285156
13 16 48384
13 17 141578
13 19 233401
13 20 69392
13 25 55178
13 27 50787
14 15 374352
14 17 225269
14 20 236138
14 22 193578
14 23 249696
14 24 362474
14 25 240443
15 16 281494
15 17 210690
15 18 266575
15 19 66639
15 20 297634
15 22 180774
15 23 236892
15 24 179371
16 19 214855
16 23 184140
16 25 103562
16 26 240359
16 27 71833
17 19 144051
17 25 196756
17 26 208866
17 27 90791
18 20 93720
18 21 130953
18 25 88643
18 26 225440
18 27 56914
19 23 231860
19 25 288579
20 21 175699
20 22 157849
20 23 213967
20 25 124570
20 27 101660
21 22 17850
21 24 209250
21 25 182915
21 27 76950
22 24 227100
22 25 165065
22 27 59100
23 25 221183
23 27 115218
24 26 13457
Case #7: 1
1 3 5
Case #8: 316
1 5 134190
1 7 141310
1 8 89058
1 9 50719
1 14 173914
1 17 142434
1 20 204649
1 23 149034
1 24 210717
1 25 149455
1 27 287772
1 31 110524
1 32 123919
1 33 224026
1 34 142484
1 35 163664
1 36 109197
2 5 224530
2 7 231650
2 8 179398
2 9 141059
2 10 242093
2 12 250580
2 13 202507
2 14 238439
2 15 218658
2 16 165646
2 20 12871
2 21 244499
2 24 200698
2 25 239795
2 27 302076
2 28 225980
2 29 175328
2 31 278408
2 32 214259
2 36 199537
3 4 177489
3 5 158134
3 12 66095
3 13 79989
3 17 236177
3 19 146560
3 20 269625
3 22 182451
3 23 79749
3 25 174102
3 26 120860
3 27 295064
3 31 96544
3 33 159955
3 35 43404
3 36 175415
4 7 135080
4 9 119478
4 10 57592
4 13 199198
4 14 222297
4 15 34157
4 20 197372
4 22 147531
4 24 122235
4 26 161297
4 28 129410
4 29 153747
4 30 176883
4 33 266558
4 35 134085
4 36 177956
5 6 190798
5 7 67083
5 8 121810
5 10 109851
5 11 121489
5 17 102989
5 19 192844
5 22 181087
5 23 78385
5 24 158558
5 29 117740
5 30 204172
5 32 84474
5 33 159584
5 34 151801
5 35 186344
6 7 151804
6 11 151685
6 12 159378
6 13 189429
6 14 209558
6 15 104382
6 17 187710
6 19 143782
6 20 267597
6 24 109496
6 25 171324
6 28 180916
6 31 254756
6 32 169195
7 8 128930
7 10 106147
7 16 115178
7 19 214439
7 22 194680
7 23 145468
7 24 189001
7 25 158263
7 29 124860
7 30 137089
7 31 196876
7 33 166260
7 36 118005
8 12 180247
8 14 170540
8 16 13752
8 18 122119
8 19 164651
8 22 142428
8 23 189296
8 26 159275
8 27 212852
8 29 4070
8 30 179888
8 31 107150
8 33 143108
8 34 61566
9 11 38018
9 12 209880
9 19 194284
9 21 179476
9 22 104089
9 23 150957
9 24 159998
9 26 120936
9 29 34269
9 32 73200
9 36 58478
10 13 188476
10 14 211575
10 15 23435
10 16 118042
10 17 107271
10 18 226923
10 21 49276
10 22 205123
10 24 111513
10 25 173341
10 28 100477
10 30 166161
10 31 176503
10 35 123363
10 36 151933
11 12 171862
11 13 123789
11 14 159721
11 16 62605
11 17 129733
11 18 190336
11 19 156266
11 20 115912
11 21 141458
11 25 136754
11 26 82918
11 27 199035
11 28 122939
11 29 72287
11 33 211325
11 35 215545
11 36 96496
12 13 129815
12 18 165292
12 20 237709
12 21 112119
12 24 49882
12 28 191912
12 31 162639
12 35 109499
13 14 35932
13 15 165041
13 16 175304
13 18 195343
13 19 114219
13 20 189636
13 21 142170
13 27 316773
13 28 149394
13 29 184986
13 30 134581
13 31 99322
13 32 161115
13 34 205000
14 17 120256
14 19 134348
14 21 162299
14 23 36172
14 24 100062
14 25 146822
14 27 326834
14 28 113462
14 29 166470
14 35 116530
14 36 142261
15 16 141477
15 21 25841
15 27 151732
15 29 151159
15 35 99928
15 36 175368
16 21 167318
16 22 128676
16 23 175544
16 24 135977
16 25 74149
16 28 109508
16 30 185500
16 32 97787
16 35 165902
17 18 189527
17 20 245645
17 21 127888
17 22 195804
17 23 156428
17 25 135945
17 31 174558
17 32 18515
17 33 143942
18 20 303237
18 21 177647
18 24 115410
18 25 53582
18 30 170058
18 32 194454
18 35 190154
19 21 96523
19 24 34286
19 28 196911
19 30 88934
19 36 136372
20 21 250064
20 22 181983
20 24 187827
20 25 249655
20 26 148765
20 28 238851
20 31 288958
20 32 227130
20 34 245695
21 23 142410
21 26 101299
21 27 177573
21 28 121094
21 29 177000
21 30 116885
21 32 109373
21 33 258242
21 35 74087
21 36 164323
22 23 102702
22 24 182875
22 26 143813
22 29 138358
22 31 202264
22 33 277396
22 34 195854
23 24 80173
23 25 142001
23 27 316533
23 32 161355
23 33 237969
23 34 205240
23 35 123153
24 25 61828
24 29 126295
24 30 54648
24 31 145260
24 33 209861
24 34 135373
24 36 102086
25 28 129151
25 29 64467
25 36 40258
26 27 278872
26 28 190265
26 29 155205
26 30 93710
26 31 140193
26 32 194136
26 33 248923
26 35 164264
26 36 141148
27 28 246985
27 29 208782
27 30 294458
27 32 235264
27 33 299402
27 35 251660
27 36 184573
28 31 167764
28 33 137148
28 34 55606
28 35 195181
28 36 88893
29 32 107469
29 33 139038
29 34 57496
29 35 156220
30 31 199908
30 33 245125
30 36 151609
31 32 179485
31 33 193700
31 34 112158
31 35 53140
32 35 183460
33 36 114829
34 36 33287
Case #9: 820
1 2 53399
1 3 113016
1 4 111595
1 5 15104
1 6 30768
1 7 64642
1 8 8079
1 9 33181
1 10 80592
1 11 65266
1 12 35108
1 13 101569
1 14 27305
1 15 12752
1 16 110095
1 17 46195
1 18 71455
1 19 95819
1 20 109291
1 21 212744
1 22 46314
1 23 15257
1 24 79654
1 25 107076
1 26 125426
1 27 22183
1 28 143851
1 29 57996
1 30 1848
1 31 27007
1 32 90261
1 33 26153
1 34 91958
1 35 132100
1 36 71716
1 37 51114
1 38 110125
1 39 20874
1 40 15686
1 41 104386
2 3 121249
2 4 107632
2 5 42999
2 6 22631
2 7 117204
2 8 61478
2 9 61076
2 10 133991
2 11 117828
2 12 63003
2 13 154968
2 14 55200
2 15 40647
2 16 153207
2 17 74090
2 18 99350
2 19 148381
2 20 162690
2 21 207608
2 22 74209
2 23 68656
2 24 126802
2 25 134971
2 26 133659
2 27 50078
2 28 171746
2 29 78914
2 30 55247
2 31 80406
2 32 118156
2 33 79552
2 34 119853
2 35 139700
2 36 73366
2 37 104513
2 38 138020
2 39 74273
2 40 69085
2 41 140497
3 4 174373
3 5 128120
3 6 143784
3 7 168464
3 8 117399
3 9 146197
3 10 165162
3 11 169088
3 12 148124
3 13 166640
3 14 140321
3 15 125768
3 16 193807
3 17 157815
3 18 175865
3 19 199641
3 20 203047
3 21 296456
3 22 159330
3 23 99827
3 24 192670
3 25 207922
3 26 12410
3 27 135199
3 28 256867
3 29 171012
3 30 111168
3 31 136327
3 32 157059
3 33 88931
3 34 160295
3 35 206441
3 36 184732
3 37 154936
3 38 217587
3 39 133890
3 40 99398
3 41 208208
4 5 126699
4 6 130263
4 7 125488
4 8 119674
4 9 144776
4 10 161673
4 11 126112
4 12 146703
4 13 151897
4 14 138900
4 15 124347
4 16 109536
4 17 101596
4 18 160580
4 19 115368
4 20 170137
4 21 212185
4 22 157909
4 23 96338
4 24 164437
4 25 110615
4 26 186783
4 27 125608
4 28 255446
4 29 140086
4 30 113443
4 31 138602
4 32 177972
4 33 85442
4 34 156806
4 35 32068
4 36 180998
4 37 111960
4 38 133316
4 39 105657
4 40 95909
4 41 106801
5 6 20368
5 7 79746
5 8 23183
5 9 18077
5 10 95696
5 11 80370
5 12 24708
5 13 116673
5 14 12201
5 15 2352
5 16 110208
5 17 31091
5 18 56351
5 19 106065
5 20 124395
5 21 203230
5 22 31210
5 23 30361
5 24 90780
5 25 91972
5 26 140530
5 27 7079
5 28 128747
5 29 42892
5 30 16952
5 31 42111
5 32 75157
5 33 41257
5 34 81558
5 35 147204
5 36 71103
5 37 66218
5 38 95021
5 39 35978
5 40 30790
5 41 97498
6 7 94573
6 8 38847
6 9 38445
6 10 111360
6 11 95197
6 12 40372
6 13 132337
6 14 32569
6 15 18016
6 16 130576
6 17 51459
6 18 76719
6 19 125750
6 20 140059
6 21 223598
6 22 51578
6 23 46025
6 24 104171
6 25 112340
6 26 156194
6 27 27447
6 28 149115
6 29 56283
6 30 32616
6 31 57775
6 32 95525
6 33 56921
6 34 97222
6 35 162331
6 36 50735
6 37 81882
6 38 115389
6 39 51642
6 40 46454
6 41 117866
7 8 69025
7 9 96447
7 10 50695
7 11 624
7 12 99750
7 13 162515
7 14 91947
7 15 77394
7 16 97311
7 17 110837
7 18 62148
7 19 31177
7 20 71705
7 21 199960
7 22 110956
7 23 79899
7 24 74320
7 25 138947
7 26 156054
7 27 86825
7 28 208493
7 29 122208
7 30 62794
7 31 87953
7 32 80954
7 33 90795
7 34 156600
7 35 157556
7 36 136358
7 37 13528
7 38 80404
7 39 85516
7 40 80328
7 41 39744
8 9 41260
8 10 88671
8 11 69649
8 12 43187
8 13 105952
8 14 35384
8 15 20831
8 16 118174
8 17 54274
8 18 79534
8 19 100202
8 20 113674
8 21 220823
8 22 54393
8 23 23336
8 24 87733
8 25 115155
8 26 129809
8 27 30262
8 28 151930
8 29 66075
8 30 6231
8 31 31390
8 32 98340
8 33 34232
8 34 100037
8 35 140179
8 36 79795
8 37 55497
8 38 118204
8 39 28953
8 40 23765
8 41 108769
9 10 113773
9 11 97071
9 12 42785
9 13 134750
9 14 30278
9 15 20429
9 16 124200
9 17 49168
9 18 38274
9 19 124142
9 20 108357
9 21 221307
9 22 49287
9 23 48438
9 24 108857
9 25 110049
9 26 158607
9 27 25156
9 28 146824
9 29 60969
9 30 35029
9 31 60188
9 32 57080
9 33 59334
9 34 99635
9 35 165281
9 36 76464
9 37 84295
9 38 113098
9 39 54055
9 40 48867
9 41 115575
10 11 50071
10 12 115700
10 13 142722
10 14 107897
10 15 93344
10 16 148006
10 17 126787
10 18 112843
10 19 80624
10 20 122400
10 21 250655
10 22 126906
10 23 65335
10 24 85475
10 25 184004
10 26 177572
10 27 102775
10 28 224443
10 29 133363
10 30 82440
10 31 107599
10 32 131649
10 33 76231
10 34 147595
10 35 144355
10 36 148762
10 37 64223
10 38 129851
10 39 101466
10 40 65764
10 41 89191
11 12 100374
11 13 163139
11 14 92571
11 15 78018
11 16 97935
11 17 111461
11 18 62772
11 19 30553
11 20 72329
11 21 200584
11 22 111580
11 23 80523
11 24 74944
11 25 138323
11 26 156678
11 27 87449
11 28 209117
11 29 122832
11 30 63418
11 31 88577
11 32 81578
11 33 91419
11 34 157224
11 35 158180
11 36 136982
11 37 14152
11 38 79780
11 39 86140
11 40 80952
11 41 39120
12 13 104460
12 14 36909
12 15 22356
12 16 132103
12 17 55799
12 18 81059
12 19 97192
12 20 144399
12 21 217839
12 22 55918
12 23 50365
12 24 114486
12 25 116680
12 26 160534
12 27 31787
12 28 153455
12 29 67600
12 30 36956
12 31 29898
12 32 99865
12 33 61261
12 34 91207
12 35 166304
12 36 91107
12 37 86222
12 38 108323
12 39 55982
12 40 50794
12 41 105759
13 14 128874
13 15 114321
13 16 211664
13 17 104611
13 18 173024
13 19 183129
13 20 207164
13 21 208073
13 22 147883
13 23 116826
13 24 181223
13 25 41282
13 26 179050
13 27 118140
13 28 245420
13 29 159565
13 30 99721
13 31 74562
13 32 191830
13 33 127722
13 34 193527
13 35 119829
13 36 173285
13 37 148987
13 38 204110
13 39 122443
13 40 117255
13 41 174562
14 15 14553
14 16 122409
14 17 43292
14 18 68552
14 19 118266
14 20 136596
14 21 215431
14 22 43411
14 23 42562
14 24 78579
14 25 104173
14 26 138016
14 27 19280
14 28 116546
14 29 30691
14 30 29153
14 31 54312
14 32 87358
14 33 53458
14 34 93759
14 35 138709
14 36 83304
14 37 78419
14 38 107222
14 39 48179
14 40 42991
14 41 109699
15 16 112560
15 17 33443
15 18 58703
15 19 108417
15 20 122043
15 21 205582
15 22 33562
15 23 28009
15 24 92406
15 25 94324
15 26 138178
15 27 9431
15 28 131099
15 29 45244
15 30 14600
15 31 39759
15 32 77509
15 33 38905
15 34 79206
15 35 144852
15 36 68751
15 37 63866
15 38 97373
15 39 33626
15 40 28438
15 41 99850
16 17 141299
16 18 87242
16 19 128488
16 20 90347
16 21 102649
16 22 78998
16 23 94838
16 24 171631
16 25 202180
16 26 183398
16 27 117287
16 28 160530
16 29 153100
16 30 111943
16 31 137102
16 32 68436
16 33 104876
16 34 176240
16 35 141604
16 36 132524
16 37 110839
16 38 23780
16 39 130969
16 40 94409
16 41 131708
17 18 87442
17 19 137156
17 20 155486
17 21 220163
17 22 62301
17 23 61452
17 24 121871
17 25 108905
17 26 145405
17 27 24012
17 28 159838
17 29 73983
17 30 48043
17 31 67590
17 32 106248
17 33 72348
17 34 112649
17 35 133664
17 36 102194
17 37 97309
17 38 126112
17 39 67069
17 40 61881
17 41 128589
18 19 93325
18 20 106797
18 21 189891
18 22 87561
18 23 86712
18 24 109412
18 25 148323
18 26 163455
18 27 63430
18 28 185098
18 29 99243
18 30 73303
18 31 98462
18 32 18806
18 33 97608
18 34 137909
18 35 192648
18 36 114738
18 37 48620
18 38 109327
18 39 92329
18 40 87141
18 41 101892
19 20 99051
19 21 231137
19 22 137275
19 23 111076
19 24 105497
19 25 168876
19 26 187231
19 27 113144
19 28 234812
19 29 148957
19 30 93971
19 31 108567
19 32 112131
19 33 121972
19 34 131425
19 35 147436
19 36 167535
19 37 44705
19 38 110333
19 39 110652
19 40 111505
19 41 8567
20 21 192996
20 22 130378
20 23 124548
20 24 118969
20 25 210652
20 26 200703
20 27 131474
20 28 203317
20 29 166857
20 30 107443
20 31 132602
20 32 125603
20 33 135444
20 34 201249
20 35 202205
20 36 181007
20 37 58177
20 38 66567
20 39 130165
20 40 124977
20 41 107618
21 22 181647
21 23 197487
21 24 274280
21 25 166791
21 26 286047
21 27 196151
21 28 263179
21 29 246122
21 30 214592
21 31 239729
21 32 171085
21 33 207525
21 34 278889
21 35 244253
21 36 228351
21 37 213488
21 38 126429
21 39 231120
21 40 197058
21 41 234357
22 23 61571
22 24 121990
22 25 123182
22 26 171740
22 27 38289
22 28 159957
22 29 74102
22 30 48162
22 31 73321
22 32 106367
22 33 72467
22 34 112768
22 35 178414
22 36 102313
22 37 97428
22 38 63811
22 39 67188
22 40 62000
22 41 128708
23 24 94911
23 25 122333
23 26 112237
23 27 37440
23 28 159108
23 29 73253
23 30 17105
23 31 42264
23 32 105518
23 33 10896
23 34 82260
23 35 128406
23 36 86973
23 37 66371
23 38 118618
23 39 36131
23 40 429
23 41 119643
24 25 182752
24 26 203318
24 27 97859
24 28 195125
24 29 47888
24 30 81502
24 31 106661
24 32 128218
24 33 105807
24 34 122944
24 35 155906
24 36 63287
24 37 60792
24 38 154724
24 39 58780
24 40 95340
24 41 114064
25 26 220332
25 27 84893
25 28 220719
25 29 134864
25 30 108924
25 31 115844
25 32 167129
25 33 133229
25 34 173530
25 35 78547
25 36 163075
25 37 152475
25 38 186993
25 39 127950
25 40 122762
25 41 177443
26 27 147609
26 28 254562
26 29 168707
26 30 123578
26 31 148737
26 32 144649
26 33 101341
26 34 172705
26 35 218851
26 36 197142
26 37 142526
26 38 207178
26 39 146300
26 40 111808
26 41 195798
27 28 135826
27 29 49971
27 30 24031
27 31 43578
27 32 82236
27 33 48336
27 34 88637
27 35 154283
27 36 78182
27 37 73297
27 38 102100
27 39 43057
27 40 37869
27 41 104577
28 29 147237
28 30 145699
28 31 170858
28 32 203904
28 33 170004
28 34 210305
28 35 255255
28 36 199850
28 37 194965
28 38 136750
28 39 164725
28 40 159537
28 41 226245
29 30 59844
29 31 85003
29 32 118049
29 33 84149
29 34 124450
29 35 108018
29 36 107018
29 37 108680
29 38 137913
29 39 78870
29 40 73682
29 41 140390
30 31 25159
30 32 92109
30 33 28001
30 34 93806
30 35 133948
30 36 73564
30 37 49266
30 38 111973
30 39 22722
30 40 17534
30 41 102538
31 32 117268
31 33 53160
31 34 118965
31 35 159107
31 36 98723
31 37 74425
31 38 137132
31 39 47881
31 40 42693
31 41 100000
32 33 116414
32 34 156715
32 35 210040
32 36 133544
32 37 67426
32 38 92216
32 39 111135
32 40 105947
32 41 120698
33 34 71364
33 35 117510
33 36 97869
33 37 77267
33 38 128656
33 39 47027
33 40 10467
33 41 130539
34 35 188874
34 36 59657
34 37 143072
